"","rii","rii_infci","rii_supci","encuesta","ccaa","sexo","nombre","nombre_notilde","abreviatura","id_mapa","fr"
"170",1.62579999621134,1.34694625923624,1.96238388098689,"2003",17,"Hombres","La Rioja","La Rioja","RI",76,"diabetes"
"171",1.62579999621134,1.34694625923624,1.96238388098689,"2006",1,"Hombres","Andalucía","Andalucia","AN",61,"diabetes"
"172",1.62579999621134,1.34694625923624,1.96238388098689,"2006",2,"Hombres","Aragón","Aragon","AR",62,"diabetes"
"173",1.62579999621134,1.34694625923624,1.96238388098689,"2006",3,"Hombres","Asturias","Asturias","AS",63,"diabetes"
"174",1.62579999621134,1.34694625923624,1.96238388098689,"2006",4,"Hombres","Balears","Balears","IB",64,"diabetes"
"175",1.62579999621134,1.34694625923624,1.96238388098689,"2006",5,"Hombres","Canarias","Canarias","CN",65,"diabetes"
"176",1.62579999621134,1.34694625923624,1.96238388098689,"2006",6,"Hombres","Cantabria","Cantabria","CB",66,"diabetes"
"177",1.62579999621134,1.34694625923624,1.96238388098689,"2006",7,"Hombres","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"178",1.62579999621134,1.34694625923624,1.96238388098689,"2006",8,"Hombres","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"179",1.62579999621134,1.34694625923624,1.96238388098689,"2006",9,"Hombres","Cataluña","Catalunya","CT",69,"diabetes"
"180",1.62579999621134,1.34694625923624,1.96238388098689,"2006",10,"Hombres","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"181",1.62579999621134,1.34694625923624,1.96238388098689,"2006",11,"Hombres","Extremadura","Extremadura","EX",70,"diabetes"
"182",1.62579999621134,1.34694625923624,1.96238388098689,"2006",12,"Hombres","Galicia","Galicia","GA",71,"diabetes"
"183",1.62579999621134,1.34694625923624,1.96238388098689,"2006",13,"Hombres","Madrid","Madrid","MD",72,"diabetes"
"184",1.62579999621134,1.34694625923624,1.96238388098689,"2006",14,"Hombres","Murcia","Murcia","MC",73,"diabetes"
"185",1.62579999621134,1.34694625923624,1.96238388098689,"2006",15,"Hombres","Navarra","Navarra","NC",74,"diabetes"
"186",1.62579999621134,1.34694625923624,1.96238388098689,"2006",16,"Hombres","País Vasco","Pais Vasco","PV",75,"diabetes"
"187",1.62579999621134,1.34694625923624,1.96238388098689,"2006",17,"Hombres","La Rioja","La Rioja","RI",76,"diabetes"
"188",1.62579999621134,1.34694625923624,1.96238388098689,"2009",1,"Hombres","Andalucía","Andalucia","AN",61,"diabetes"
"189",1.62579999621134,1.34694625923624,1.96238388098689,"2009",2,"Hombres","Aragón","Aragon","AR",62,"diabetes"
"190",1.62579999621134,1.34694625923624,1.96238388098689,"2009",3,"Hombres","Asturias","Asturias","AS",63,"diabetes"
"191",1.62579999621134,1.34694625923624,1.96238388098689,"2009",4,"Hombres","Balears","Balears","IB",64,"diabetes"
"192",1.62579999621134,1.34694625923624,1.96238388098689,"2009",5,"Hombres","Canarias","Canarias","CN",65,"diabetes"
"193",1.62579999621134,1.34694625923624,1.96238388098689,"2009",6,"Hombres","Cantabria","Cantabria","CB",66,"diabetes"
"194",1.62579999621134,1.34694625923624,1.96238388098689,"2009",7,"Hombres","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"195",1.62579999621134,1.34694625923624,1.96238388098689,"2009",8,"Hombres","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"196",1.62579999621134,1.34694625923624,1.96238388098689,"2009",9,"Hombres","Cataluña","Catalunya","CT",69,"diabetes"
"197",1.62579999621134,1.34694625923624,1.96238388098689,"2009",10,"Hombres","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"198",1.62579999621134,1.34694625923624,1.96238388098689,"2009",11,"Hombres","Extremadura","Extremadura","EX",70,"diabetes"
"199",1.62579999621134,1.34694625923624,1.96238388098689,"2009",12,"Hombres","Galicia","Galicia","GA",71,"diabetes"
"200",1.62579999621134,1.34694625923624,1.96238388098689,"2009",13,"Hombres","Madrid","Madrid","MD",72,"diabetes"
"201",1.62579999621134,1.34694625923624,1.96238388098689,"2009",14,"Hombres","Murcia","Murcia","MC",73,"diabetes"
"202",1.62579999621134,1.34694625923624,1.96238388098689,"2009",15,"Hombres","Navarra","Navarra","NC",74,"diabetes"
"203",1.62579999621134,1.34694625923624,1.96238388098689,"2009",16,"Hombres","País Vasco","Pais Vasco","PV",75,"diabetes"
"204",1.62579999621134,1.34694625923624,1.96238388098689,"2009",17,"Hombres","La Rioja","La Rioja","RI",76,"diabetes"
"205",1.62579999621134,1.34694625923624,1.96238388098689,"2011",1,"Hombres","Andalucía","Andalucia","AN",61,"diabetes"
"206",1.62579999621134,1.34694625923624,1.96238388098689,"2011",2,"Hombres","Aragón","Aragon","AR",62,"diabetes"
"207",1.62579999621134,1.34694625923624,1.96238388098689,"2011",3,"Hombres","Asturias","Asturias","AS",63,"diabetes"
"208",1.62579999621134,1.34694625923624,1.96238388098689,"2011",4,"Hombres","Balears","Balears","IB",64,"diabetes"
"209",1.62579999621134,1.34694625923624,1.96238388098689,"2011",5,"Hombres","Canarias","Canarias","CN",65,"diabetes"
"210",1.62579999621134,1.34694625923624,1.96238388098689,"2011",6,"Hombres","Cantabria","Cantabria","CB",66,"diabetes"
"211",1.62579999621134,1.34694625923624,1.96238388098689,"2011",7,"Hombres","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"212",1.62579999621134,1.34694625923624,1.96238388098689,"2011",8,"Hombres","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"213",1.62579999621134,1.34694625923624,1.96238388098689,"2011",9,"Hombres","Cataluña","Catalunya","CT",69,"diabetes"
"214",1.62579999621134,1.34694625923624,1.96238388098689,"2011",10,"Hombres","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"215",1.62579999621134,1.34694625923624,1.96238388098689,"2011",11,"Hombres","Extremadura","Extremadura","EX",70,"diabetes"
"216",1.62579999621134,1.34694625923624,1.96238388098689,"2011",12,"Hombres","Galicia","Galicia","GA",71,"diabetes"
"217",1.62579999621134,1.34694625923624,1.96238388098689,"2011",13,"Hombres","Madrid","Madrid","MD",72,"diabetes"
"218",1.62579999621134,1.34694625923624,1.96238388098689,"2011",14,"Hombres","Murcia","Murcia","MC",73,"diabetes"
"219",1.62579999621134,1.34694625923624,1.96238388098689,"2011",15,"Hombres","Navarra","Navarra","NC",74,"diabetes"
"220",1.62579999621134,1.34694625923624,1.96238388098689,"2011",16,"Hombres","País Vasco","Pais Vasco","PV",75,"diabetes"
