"","rii","rii_infci","rii_supci","encuesta","risk_factor","sexo","ccaa"
"122",1.81367636550559,1.61654500002757,2.03484713307547,2006,"sedentario","Mujeres",0
"123",1.48175306536862,1.35038859556766,1.6258965411407,2011,"sedentario","Mujeres",0
"124",2.38951793537236,2.08828707001765,2.73420069752092,2014,"sedentario","Mujeres",0
"125",2.52925643602851,2.21311692738448,2.89055586717325,2017,"sedentario","Mujeres",0
"126",3.09459498610661,2.69349976521687,3.55541821525466,2020,"sedentario","Mujeres",0
"127",1.20658291145068,1.14302494331903,1.27367502407904,2003,"food","Overall",0
"128",1.20089295637755,1.14157543953651,1.26329267670891,2006,"food","Overall",0
"129",1.28538176929048,1.22571572720347,1.34795226670861,2011,"food","Overall",0
"130",1.29770837072824,1.22318694151523,1.37676994276281,2014,"food","Overall",0
"131",1.38762932018878,1.31005226263667,1.46980024016156,2017,"food","Overall",0
"132",1.28633461266801,1.202803434659,1.37566678649938,2020,"food","Overall",0
"133",1.16500445762914,1.08849311064881,1.24689386916448,2003,"food","Hombres",0
"134",1.17947142871952,1.10527895984826,1.25864410859378,2006,"food","Hombres",0
"135",1.21244494334964,1.14329365563697,1.28577879655521,2011,"food","Hombres",0
"136",1.15971861524316,1.07822272361867,1.2473742549477,2014,"food","Hombres",0
"137",1.21192167896453,1.13197017757025,1.29752018652723,2017,"food","Hombres",0
"138",1.18895240156904,1.09513299664014,1.29080926018459,2020,"food","Hombres",0
"139",1.25637487192495,1.15287310577327,1.36916874103478,2003,"food","Mujeres",0
"140",1.23085416055022,1.13728009437666,1.3321273906356,2006,"food","Mujeres",0
"141",1.3802985874344,1.27794697054438,1.49084761291918,2011,"food","Mujeres",0
"142",1.48471321303644,1.34739726735109,1.63602330090714,2014,"food","Mujeres",0
"143",1.6612794482202,1.50643487991198,1.83204029718169,2017,"food","Mujeres",0
"144",1.42439523200336,1.27587945752101,1.59019863905952,2020,"food","Mujeres",0
